# Force       
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0002        	(4.237651e+04 -7.441914e+05 -9.578482e+05)	(4.237629e+04 -7.441914e+05 -9.578482e+05)	(2.215061e-01 7.505484e-04 1.085700e-02)
0.0004        	(-2.019493e+04 3.442716e+05 4.446664e+05)	(-2.019516e+04 3.442716e+05 4.446665e+05)	(2.264768e-01 7.122290e-04 -1.960412e-02)
0.0006        	(-1.225471e+03 3.939100e+04 4.830885e+04)	(-1.225698e+03 3.939099e+04 4.830887e+04)	(2.266843e-01 1.216423e-03 -1.084431e-02)
0.0008        	(6.514318e+02 -2.005189e+04 -2.474964e+04)	(6.512050e+02 -2.005189e+04 -2.474965e+04)	(2.267351e-01 1.187338e-03 7.593891e-03)
0.001         	(-3.795234e+01 3.298164e+03 4.042267e+03)	(-3.818108e+01 3.298163e+03 4.042261e+03)	(2.287347e-01 1.256043e-03 5.420190e-03)
0.0012        	(8.199007e+01 7.822025e+02 8.517235e+02)	(8.175709e+01 7.822012e+02 8.517279e+02)	(2.329792e-01 1.238729e-03 -4.391687e-03)
0.0014        	(9.678585e+01 -3.391093e+02 -4.959421e+02)	(9.654819e+01 -3.391099e+02 -4.959362e+02)	(2.376656e-01 6.690020e-04 -5.962277e-03)
0.0016        	(1.173167e+01 1.903547e+02 1.833568e+02)	(1.149037e+01 1.903562e+02 1.833573e+02)	(2.413055e-01 -1.461742e-03 -5.309514e-04)
0.0018        	(2.267625e+02 1.691296e+02 7.261660e+02)	(2.265209e+02 1.691414e+02 7.261590e+02)	(2.416158e-01 -1.180297e-02 6.974077e-03)
0.002         	(1.105677e+02 -2.851896e+01 8.217333e+01)	(1.103370e+02 -2.851566e+01 8.217349e+01)	(2.307019e-01 -3.306451e-03 -1.575653e-04)
0.0022        	(-2.077236e+02 3.665606e+01 -2.582942e+02)	(-2.079543e+02 3.665322e+01 -2.582900e+02)	(2.307009e-01 2.839310e-03 -4.153773e-03)
0.0024        	(-9.902870e+01 8.106253e+01 -5.386889e+01)	(-9.925638e+01 8.105910e+01 -5.386479e+01)	(2.276863e-01 3.436054e-03 -4.103939e-03)
0.0026        	(-7.487515e+01 7.837312e+01 -4.017184e+01)	(-7.509708e+01 7.836986e+01 -4.016888e+01)	(2.219330e-01 3.261471e-03 -2.964100e-03)
0.0028        	(-1.012266e+02 8.797818e+01 1.779653e+00)	(-1.014413e+02 8.797518e+01 1.782147e+00)	(2.146525e-01 2.999230e-03 -2.493714e-03)
0.003         	(-1.034708e+02 9.864932e+01 2.787833e+01)	(-1.036779e+02 9.864639e+01 2.788087e+01)	(2.071290e-01 2.921546e-03 -2.540412e-03)
0.0032        	(-8.472340e+01 9.896136e+01 4.026686e+01)	(-8.492353e+01 9.895831e+01 4.026923e+01)	(2.001253e-01 3.045997e-03 -2.373479e-03)
0.0034        	(-5.128294e+01 9.542842e+01 3.547479e+01)	(-5.147708e+01 9.542508e+01 3.547671e+01)	(1.941363e-01 3.345905e-03 -1.925024e-03)
0.0036        	(-1.678157e+01 9.293538e+01 3.349700e+01)	(-1.697075e+01 9.293136e+01 3.349850e+01)	(1.891820e-01 4.021981e-03 -1.498179e-03)
0.0038        	(2.315381e+01 9.445790e+01 4.074026e+01)	(2.296863e+01 9.445241e+01 4.074141e+01)	(1.851794e-01 5.490765e-03 -1.147846e-03)
0.004         	(3.837021e+01 9.468508e+01 4.077224e+01)	(3.818708e+01 9.467777e+01 4.077304e+01)	(1.831272e-01 7.311731e-03 -8.046158e-04)
0.0042        	(2.550619e+01 9.598470e+01 1.869022e+01)	(2.532212e+01 9.597653e+01 1.869084e+01)	(1.840755e-01 8.169726e-03 -6.197402e-04)
0.0044        	(3.634166e+01 8.866399e+01 -4.592428e+00)	(3.615432e+01 8.865624e+01 -4.591785e+00)	(1.873456e-01 7.751848e-03 -6.425884e-04)
0.0046        	(6.348312e+01 8.192980e+01 -4.458787e+00)	(6.329122e+01 8.192301e+01 -4.457971e+00)	(1.919068e-01 6.788705e-03 -8.159032e-04)
0.0048        	(7.896124e+01 7.944085e+01 1.085403e+01)	(7.876434e+01 7.943507e+01 1.085511e+01)	(1.968986e-01 5.773598e-03 -1.086230e-03)
0.005         	(8.416172e+01 7.660615e+01 1.588931e+01)	(8.395980e+01 7.660122e+01 1.589069e+01)	(2.019164e-01 4.929823e-03 -1.377703e-03)
0.0052        	(7.929913e+01 7.217967e+01 1.510828e+01)	(7.909257e+01 7.217528e+01 1.510994e+01)	(2.065624e-01 4.392352e-03 -1.654431e-03)
0.0054        	(6.393928e+01 6.849384e+01 1.654545e+01)	(6.372896e+01 6.848974e+01 1.654735e+01)	(2.103230e-01 4.107607e-03 -1.891567e-03)
0.0056        	(4.289166e+01 6.735076e+01 1.968765e+01)	(4.267892e+01 6.734679e+01 1.968972e+01)	(2.127400e-01 3.974783e-03 -2.068518e-03)
0.0058        	(1.760930e+01 6.974337e+01 2.646991e+01)	(1.739581e+01 6.973945e+01 2.647207e+01)	(2.134873e-01 3.922838e-03 -2.159046e-03)
0.006         	(-1.001858e+01 7.310293e+01 3.283807e+01)	(-1.023099e+01 7.309902e+01 3.284022e+01)	(2.124065e-01 3.905469e-03 -2.150331e-03)
0.0062        	(-3.623443e+01 7.960289e+01 3.961578e+01)	(-3.644398e+01 7.959900e+01 3.961782e+01)	(2.095576e-01 3.894875e-03 -2.046178e-03)
0.0064        	(-5.787985e+01 8.406510e+01 4.476366e+01)	(-5.808504e+01 8.406123e+01 4.476552e+01)	(2.051917e-01 3.863909e-03 -1.861240e-03)
0.0066        	(-7.265550e+01 8.916865e+01 4.776898e+01)	(-7.285521e+01 8.916484e+01 4.777060e+01)	(1.997028e-01 3.814570e-03 -1.618280e-03)
0.0068        	(-8.012099e+01 9.340051e+01 4.927499e+01)	(-8.031456e+01 9.339675e+01 4.927633e+01)	(1.935700e-01 3.756898e-03 -1.341161e-03)
0.007         	(-8.010184e+01 9.670905e+01 4.867596e+01)	(-8.028913e+01 9.670535e+01 4.867702e+01)	(1.872824e-01 3.703764e-03 -1.054991e-03)
0.0072        	(-7.015797e+01 1.001102e+02 4.533608e+01)	(-7.033945e+01 1.001065e+02 4.533687e+01)	(1.814789e-01 3.653368e-03 -7.916417e-04)
0.0074        	(-5.390472e+01 9.771578e+01 4.092686e+01)	(-5.408139e+01 9.771216e+01 4.092744e+01)	(1.766687e-01 3.617033e-03 -5.799577e-04)
0.0076        	(-3.145644e+01 9.426197e+01 3.543663e+01)	(-3.162972e+01 9.425837e+01 3.543707e+01)	(1.732732e-01 3.598686e-03 -4.375154e-04)
0.0078        	(-5.542017e+00 9.218458e+01 2.862276e+01)	(-5.713577e+00 9.218098e+01 2.862313e+01)	(1.715605e-01 3.597949e-03 -3.760221e-04)
0.008         	(2.160913e+01 8.681361e+01 2.258912e+01)	(2.143748e+01 8.681000e+01 2.258953e+01)	(1.716523e-01 3.614742e-03 -4.022534e-04)
0.0082        	(4.636058e+01 8.318007e+01 1.684174e+01)	(4.618711e+01 8.317642e+01 1.684226e+01)	(1.734735e-01 3.648940e-03 -5.147178e-04)
0.0084        	(6.668295e+01 7.921123e+01 1.260132e+01)	(6.650616e+01 7.920754e+01 1.260202e+01)	(1.767828e-01 3.696934e-03 -7.000428e-04)
0.0086        	(8.000071e+01 7.548111e+01 1.023548e+01)	(7.981954e+01 7.547735e+01 1.023641e+01)	(1.811739e-01 3.753103e-03 -9.384998e-04)
0.0088        	(8.574756e+01 7.366696e+01 1.011004e+01)	(8.556143e+01 7.366315e+01 1.011124e+01)	(1.861323e-01 3.810470e-03 -1.202912e-03)
0.009         	(8.493865e+01 7.135850e+01 1.123228e+01)	(8.474750e+01 7.135463e+01 1.123375e+01)	(1.911443e-01 3.865938e-03 -1.467895e-03)
0.0092        	(7.501150e+01 6.610323e+01 1.504813e+01)	(7.481591e+01 6.609931e+01 1.504983e+01)	(1.955941e-01 3.921273e-03 -1.700219e-03)
0.0094        	(5.874171e+01 6.687739e+01 1.952427e+01)	(5.854271e+01 6.687343e+01 1.952615e+01)	(1.990038e-01 3.966334e-03 -1.875222e-03)
0.0096        	(3.686017e+01 6.839270e+01 2.505870e+01)	(3.665917e+01 6.838869e+01 2.506068e+01)	(2.009966e-01 4.004436e-03 -1.977820e-03)
0.0098        	(1.131930e+01 6.937137e+01 3.150258e+01)	(1.111798e+01 6.936734e+01 3.150457e+01)	(2.013242e-01 4.029715e-03 -1.995523e-03)
0.01          	(-1.440040e+01 7.343592e+01 3.731495e+01)	(-1.460034e+01 7.343188e+01 3.731688e+01)	(1.999400e-01 4.046593e-03 -1.927717e-03)
0.0102        	(-3.832397e+01 7.615517e+01 4.278046e+01)	(-3.852091e+01 7.615111e+01 4.278224e+01)	(1.969429e-01 4.057738e-03 -1.780037e-03)
0.0104        	(-5.712497e+01 7.937230e+01 4.672812e+01)	(-5.731759e+01 7.936823e+01 4.672969e+01)	(1.926190e-01 4.067220e-03 -1.569250e-03)
0.0106        	(-6.939840e+01 8.044760e+01 4.907975e+01)	(-6.958577e+01 8.044352e+01 4.908107e+01)	(1.873665e-01 4.078181e-03 -1.316786e-03)
0.0108        	(-7.368393e+01 8.526180e+01 4.881849e+01)	(-7.386561e+01 8.525771e+01 4.881953e+01)	(1.816780e-01 4.097734e-03 -1.047763e-03)
0.011         	(-7.063722e+01 8.269221e+01 4.732913e+01)	(-7.081327e+01 8.268808e+01 4.732991e+01)	(1.760520e-01 4.129458e-03 -7.846414e-04)
0.0112        	(-5.947961e+01 8.484243e+01 4.303783e+01)	(-5.965064e+01 8.483825e+01 4.303838e+01)	(1.710274e-01 4.176597e-03 -5.564450e-04)
0.0114        	(-4.167185e+01 8.413405e+01 3.756965e+01)	(-4.183893e+01 8.412981e+01 3.757004e+01)	(1.670821e-01 4.238252e-03 -3.863763e-04)
0.0116        	(-1.981077e+01 8.284818e+01 3.172934e+01)	(-1.997532e+01 8.284387e+01 3.172963e+01)	(1.645436e-01 4.313507e-03 -2.885973e-04)
0.0118        	(4.981652e+00 7.948388e+01 2.639480e+01)	(4.818014e+00 7.947949e+01 2.639507e+01)	(1.636379e-01 4.397107e-03 -2.722088e-04)
0.012         	(2.973868e+01 7.876021e+01 1.996169e+01)	(2.957426e+01 7.875572e+01 1.996203e+01)	(1.644216e-01 4.484101e-03 -3.413540e-04)
0.0122        	(5.160751e+01 7.683862e+01 1.519577e+01)	(5.144074e+01 7.683405e+01 1.519626e+01)	(1.667680e-01 4.567876e-03 -4.905556e-04)
0.0124        	(6.840414e+01 7.405100e+01 1.240239e+01)	(6.823374e+01 7.404636e+01 1.240309e+01)	(1.703935e-01 4.638883e-03 -7.043817e-04)
0.0126        	(7.861586e+01 7.601934e+01 1.065593e+01)	(7.844098e+01 7.601464e+01 1.065689e+01)	(1.748844e-01 4.694602e-03 -9.598065e-04)
0.0128        	(8.145879e+01 7.218185e+01 1.131776e+01)	(8.127906e+01 7.217712e+01 1.131899e+01)	(1.797286e-01 4.734182e-03 -1.227785e-03)
0.013         	(7.758150e+01 6.876804e+01 1.323110e+01)	(7.739709e+01 6.876328e+01 1.323258e+01)	(1.844166e-01 4.761846e-03 -1.486677e-03)
0.0132        	(6.593285e+01 6.489036e+01 1.706211e+01)	(6.574445e+01 6.488559e+01 1.706381e+01)	(1.884088e-01 4.776715e-03 -1.704448e-03)
0.0134        	(4.885370e+01 6.628226e+01 2.144077e+01)	(4.866241e+01 6.627747e+01 2.144263e+01)	(1.912950e-01 4.783119e-03 -1.861454e-03)
0.0136        	(2.681632e+01 6.283431e+01 2.724417e+01)	(2.662357e+01 6.282953e+01 2.724612e+01)	(1.927475e-01 4.784015e-03 -1.944231e-03)
0.0138        	(2.860669e+00 6.213106e+01 3.256654e+01)	(2.668058e+00 6.212628e+01 3.256849e+01)	(1.926114e-01 4.783770e-03 -1.945725e-03)
0.014         	(-2.095122e+01 6.126516e+01 3.795875e+01)	(-2.114210e+01 6.126037e+01 3.796061e+01)	(1.908775e-01 4.788451e-03 -1.867506e-03)
0.0142        	(-4.181489e+01 6.047842e+01 4.268769e+01)	(-4.200260e+01 6.047361e+01 4.268940e+01)	(1.877050e-01 4.802305e-03 -1.717465e-03)
0.0144        	(-5.789172e+01 6.141371e+01 4.607818e+01)	(-5.807510e+01 6.140888e+01 4.607969e+01)	(1.833784e-01 4.828918e-03 -1.513547e-03)
0.0146        	(-6.707230e+01 6.182748e+01 4.767587e+01)	(-6.725061e+01 6.182261e+01 4.767715e+01)	(1.783110e-01 4.870124e-03 -1.276413e-03)
0.0148        	(-6.797168e+01 6.246203e+01 4.688828e+01)	(-6.814470e+01 6.245710e+01 4.688931e+01)	(1.730177e-01 4.922607e-03 -1.031342e-03)
0.015         	(-6.256420e+01 6.583940e+01 4.447301e+01)	(-6.273215e+01 6.583441e+01 4.447381e+01)	(1.679538e-01 4.987180e-03 -8.002458e-04)
0.0152        	(-5.007272e+01 6.665544e+01 4.053201e+01)	(-5.023633e+01 6.665039e+01 4.053262e+01)	(1.636061e-01 5.056332e-03 -6.088949e-04)
0.0154        	(-3.210945e+01 6.960651e+01 3.531168e+01)	(-3.226983e+01 6.960139e+01 3.531216e+01)	(1.603821e-01 5.125170e-03 -4.772421e-04)
0.0156        	(-1.058835e+01 7.213621e+01 2.947072e+01)	(-1.074691e+01 7.213103e+01 2.947114e+01)	(1.585592e-01 5.186158e-03 -4.161681e-04)
0.0158        	(1.273516e+01 7.443501e+01 2.373673e+01)	(1.257687e+01 7.442978e+01 2.373716e+01)	(1.582903e-01 5.234303e-03 -4.320600e-04)
0.016         	(3.561551e+01 7.340322e+01 1.909328e+01)	(3.545592e+01 7.339795e+01 1.909380e+01)	(1.595889e-01 5.270566e-03 -5.258389e-04)
0.0162        	(5.462864e+01 7.383374e+01 1.488574e+01)	(5.446636e+01 7.382844e+01 1.488643e+01)	(1.622749e-01 5.296307e-03 -6.894949e-04)
0.0164        	(6.830961e+01 7.069517e+01 1.232599e+01)	(6.814358e+01 7.068986e+01 1.232690e+01)	(1.660372e-01 5.306707e-03 -9.064764e-04)
0.0166        	(7.544002e+01 7.083080e+01 1.111334e+01)	(7.526957e+01 7.082549e+01 1.111449e+01)	(1.704486e-01 5.310407e-03 -1.153077e-03)
0.0168        	(7.599665e+01 6.879540e+01 1.171272e+01)	(7.582162e+01 6.879010e+01 1.171412e+01)	(1.750296e-01 5.304935e-03 -1.404096e-03)
0.017         	(6.999282e+01 6.401961e+01 1.384512e+01)	(6.981353e+01 6.401431e+01 1.384676e+01)	(1.792897e-01 5.298115e-03 -1.636839e-03)
0.0172        	(5.743083e+01 6.229854e+01 1.768860e+01)	(5.724807e+01 6.229324e+01 1.769043e+01)	(1.827627e-01 5.296627e-03 -1.823689e-03)
0.0174        	(3.965334e+01 5.633226e+01 2.249549e+01)	(3.946826e+01 5.632696e+01 2.249743e+01)	(1.850766e-01 5.300966e-03 -1.947363e-03)
0.0176        	(1.833954e+01 5.073330e+01 2.824400e+01)	(1.815356e+01 5.072798e+01 2.824600e+01)	(1.859854e-01 5.316409e-03 -1.999369e-03)
0.0178        	(-4.366574e+00 5.023455e+01 3.336361e+01)	(-4.551957e+00 5.022920e+01 3.336558e+01)	(1.853823e-01 5.344696e-03 -1.975994e-03)
0.018         	(-2.600545e+01 4.803010e+01 3.862657e+01)	(-2.618876e+01 4.802472e+01 3.862844e+01)	(1.833117e-01 5.383151e-03 -1.879084e-03)
0.0182        	(-4.414572e+01 4.790546e+01 4.270821e+01)	(-4.432569e+01 4.790003e+01 4.270993e+01)	(1.799681e-01 5.429622e-03 -1.720287e-03)
0.0184        	(-5.687898e+01 4.948154e+01 4.549570e+01)	(-5.705466e+01 4.947606e+01 4.549722e+01)	(1.756751e-01 5.483391e-03 -1.516431e-03)
0.0186        	(-6.287863e+01 5.120433e+01 4.656400e+01)	(-6.304948e+01 5.119879e+01 4.656529e+01)	(1.708520e-01 5.537309e-03 -1.289575e-03)
0.0188        	(-6.262651e+01 5.398840e+01 4.576365e+01)	(-6.279243e+01 5.398282e+01 4.576471e+01)	(1.659253e-01 5.584598e-03 -1.060194e-03)
