# Moment      
# CofR        : (5.000000e-01 1.000000e-01 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0002        	(9.987271e+04 -4.776407e+05 3.696321e+05)	(9.987271e+04 -4.776408e+05 3.696321e+05)	(4.537952e-03 5.101400e-02 -4.257705e-02)
0.0004        	(-4.596769e+04 2.216324e+05 -1.710106e+05)	(-4.596768e+04 2.216324e+05 -1.710106e+05)	(-7.593304e-03 3.654001e-02 -4.468487e-02)
0.0006        	(-5.672805e+03 2.427437e+04 -1.962804e+04)	(-5.672801e+03 2.427433e+04 -1.962799e+04)	(-4.322661e-03 4.177316e-02 -4.684153e-02)
0.0008        	(2.895280e+03 -1.240909e+04 9.976398e+03)	(2.895277e+03 -1.240914e+04 9.976445e+03)	(3.045748e-03 5.203662e-02 -4.733490e-02)
0.001         	(-4.898899e+02 2.055510e+03 -1.667472e+03)	(-4.898921e+02 2.055458e+03 -1.667423e+03)	(2.126691e-03 5.240305e-02 -4.885605e-02)
0.0012        	(-1.344651e+02 4.582372e+02 -4.295432e+02)	(-1.344633e+02 4.581881e+02 -4.294921e+02)	(-1.860174e-03 4.911592e-02 -5.110834e-02)
0.0014        	(4.105194e+01 -2.215899e+02 1.313090e+02)	(4.105457e+01 -2.216396e+02 1.313619e+02)	(-2.634160e-03 4.973264e-02 -5.288353e-02)
0.0016        	(-3.095936e+01 1.121464e+02 -1.170401e+02)	(-3.095833e+01 1.120930e+02 -1.169873e+02)	(-1.026464e-03 5.342147e-02 -5.277771e-02)
0.0018        	(-5.213664e+01 4.250287e+02 -8.532600e+01)	(-5.213640e+01 4.249708e+02 -8.527930e+01)	(-2.390998e-04 5.789954e-02 -4.670091e-02)
0.002         	(-1.963379e+01 4.437904e+01 3.264230e+01)	(-1.963297e+01 4.432590e+01 3.269385e+01)	(-8.230195e-04 5.314122e-02 -5.154734e-02)
0.0022        	(-6.912425e+00 -1.545865e+02 -1.679648e+01)	(-6.910998e+00 -1.546363e+02 -1.674234e+01)	(-1.427356e-03 4.981210e-02 -5.413650e-02)
0.0024        	(-1.259005e+01 -5.122721e+01 -2.710932e+01)	(-1.258879e+01 -5.127533e+01 -2.705641e+01)	(-1.250763e-03 4.811996e-02 -5.291684e-02)
0.0026        	(-1.636965e+01 -5.008654e+01 -1.391089e+01)	(-1.636880e+01 -5.013306e+01 -1.386021e+01)	(-8.519942e-04 4.652002e-02 -5.067647e-02)
0.0028        	(-1.822197e+01 -2.996102e+01 -1.286396e+01)	(-1.822122e+01 -3.000529e+01 -1.281603e+01)	(-7.469892e-04 4.427419e-02 -4.792964e-02)
0.003         	(-2.134267e+01 -1.586038e+01 -1.661835e+01)	(-2.134184e+01 -1.590206e+01 -1.657320e+01)	(-8.269525e-04 4.167951e-02 -4.515166e-02)
0.0032        	(-2.179849e+01 -6.002199e+00 -1.949272e+01)	(-2.179768e+01 -6.041526e+00 -1.945003e+01)	(-8.106044e-04 3.932766e-02 -4.268747e-02)
0.0034        	(-2.278574e+01 -2.979058e+00 -2.274442e+01)	(-2.278506e+01 -3.016531e+00 -2.270366e+01)	(-6.842513e-04 3.747248e-02 -4.076325e-02)
0.0036        	(-2.438586e+01 3.315399e+00 -2.765116e+01)	(-2.438526e+01 3.279270e+00 -2.761153e+01)	(-5.998553e-04 3.612829e-02 -3.962999e-02)
0.0038        	(-2.614513e+01 1.601802e+01 -3.581787e+01)	(-2.614450e+01 1.598263e+01 -3.577824e+01)	(-6.294187e-04 3.538675e-02 -3.962871e-02)
0.004         	(-2.543186e+01 2.579111e+01 -4.678222e+01)	(-2.543115e+01 2.575575e+01 -4.674165e+01)	(-7.165565e-04 3.535707e-02 -4.056369e-02)
0.0042        	(-2.587653e+01 2.333877e+01 -5.940586e+01)	(-2.587573e+01 2.330281e+01 -5.936419e+01)	(-7.917315e-04 3.595655e-02 -4.167106e-02)
0.0044        	(-2.303596e+01 1.845959e+01 -6.574912e+01)	(-2.303511e+01 1.842252e+01 -6.570642e+01)	(-8.581071e-04 3.707580e-02 -4.270398e-02)
0.0046        	(-2.190680e+01 2.413112e+01 -6.876436e+01)	(-2.190585e+01 2.409252e+01 -6.872042e+01)	(-9.495861e-04 3.860102e-02 -4.394136e-02)
0.0048        	(-2.027756e+01 3.527802e+01 -7.126547e+01)	(-2.027649e+01 3.523766e+01 -7.122002e+01)	(-1.069501e-03 4.036070e-02 -4.545457e-02)
0.005         	(-1.869919e+01 3.844677e+01 -7.119963e+01)	(-1.869799e+01 3.840458e+01 -7.115247e+01)	(-1.202117e-03 4.219444e-02 -4.715267e-02)
0.0052        	(-1.738624e+01 3.572538e+01 -6.688268e+01)	(-1.738491e+01 3.568148e+01 -6.683379e+01)	(-1.327977e-03 4.389450e-02 -4.888357e-02)
