Time outerCorrector residual
0.0002 1 1
0.0002 2 0.999
0.0002 3 0.26499
0.0002 4 0.416569
0.0002 5 0.0215385
0.0002 6 0.00607268
0.0002 7 0.00229664
0.0002 8 0.00106782
0.0002 9 9.92692e-05
0.0004 1 0.403312
0.0004 2 0.402842
0.0004 3 0.105901
0.0004 4 0.173732
0.0004 5 0.0122577
0.0004 6 0.00240299
0.0004 7 0.00118626
0.0004 8 0.000439096
0.0004 9 8.54552e-05
0.0006 1 0.326702
0.0006 2 0.326426
0.0006 3 0.109975
0.0006 4 0.177353
0.0006 5 0.00832824
0.0006 6 0.00203173
0.0006 7 0.000827562
0.0006 8 0.000364994
0.0006 9 6.69938e-05
0.0008 1 0.158054
0.0008 2 0.157936
0.0008 3 0.0748772
0.0008 4 0.102457
0.0008 5 0.00442881
0.0008 6 0.00135325
0.0008 7 0.000479794
0.0008 8 0.000251149
0.0008 9 1.74762e-05
0.001 1 0.0995232
0.001 2 0.099427
0.001 3 0.0521351
0.001 4 0.0693652
0.001 5 0.00291707
0.001 6 0.000993937
0.001 7 0.000306943
0.001 8 0.000170153
0.001 9 2.63423e-06
0.0012 1 0.088442
0.0012 2 0.0883605
0.0012 3 0.0442822
0.0012 4 0.0573929
0.0012 5 0.00298467
0.0012 6 0.00153831
0.0012 7 0.000547545
0.0012 8 0.000212255
0.0012 9 0.000103543
0.0012 10 3.45941e-05
0.0014 1 0.232285
0.0014 2 0.232058
0.0014 3 0.0458409
0.0014 4 0.069677
0.0014 5 0.0121139
0.0014 6 0.0041587
0.0014 7 0.00109955
0.0014 8 0.000181425
0.0014 9 3.7519e-05
0.0016 1 0.471061
0.0016 2 0.470622
0.0016 3 0.0663633
0.0016 4 0.0791426
0.0016 5 0.0289052
0.0016 6 0.00525311
0.0016 7 0.00205664
0.0016 8 0.000125747
0.0016 9 7.55283e-05
0.0018 1 1
0.0018 2 0.999028
0.0018 3 0.121375
0.0018 4 0.129169
0.0018 5 0.0628622
0.0018 6 0.00679312
0.0018 7 0.00446663
0.0018 8 0.00481206
0.0018 9 0.00261971
